Index,Title,Words,Characters,LLWords,LLChar,Lines,InchesLong,InchesWide,MinutesToSet,HoursToSet
1,Adam,82,421,12,57,8,1.11,2.28,175.71,2.93
2,bond agio,36,195,4,27,23,3.19,1.08,77.14,1.29
3,A Probing Thought,22,102,5,19,7,0.97,0.76,47.14,0.79
4,Carrying His Pearls,224,1186,11,61,29,4.03,2.44,480,8
5,ch-ch-changes,227,1180,15,78,19,2.64,3.12,486.43,8.11
6,Cutis,147,774,11,63,19,2.64,2.52,315,5.25
7,Dress Up,170,939,11,62,49,6.81,2.48,364.29,6.07
8,Fidelity,142,719,8,42,24,3.33,1.68,304.29,5.07
9,Glory Hole,169,868,11,56,21,2.92,2.24,362.14,6.04
10,He Rises Over Me,60,33,8,51,9,1.25,2.04,128.57,2.14
11,The Sweetness of Taormina,181,965,9,46,31,4.31,1.84,387.86,6.46
12,Hipsters at Thirty,411,2242,13,72,44,6.11,2.88,880.71,14.68
13,Figuration,97,504,11,62,10,1.39,2.48,207.86,3.46
14,Eve,44,235,6,35,7,0.97,1.4,94.29,1.57
15,Elegy,87,411,8,45,11,1.53,1.8,186.43,3.11
16,And Then,390,2064,11,50,59,8.19,2,835.71,13.93
17,Kuiah,13,64,5,27,4,0.56,1.08,27.86,0.46
18,Mowing Hay,204,1084,15,70,20,2.78,2.8,437.14,7.29
19,Perversities & Curiosities,105,584,10,62,11,1.53,2.48,225,3.75
20,The Marriage Bed,84,436,10,51,12,1.67,2.04,180,3
21,Not Even Security Knows,120,655,10,59,14,1.94,2.36,257.14,4.29
22,Sapphic,179,963,9,55,29,4.03,2.2,383.57,6.39
23,Scars,198,950,10,56,22,3.06,2.24,424.29,7.07
24,Seeing Red,129,648,14,72,10,1.39,2.88,276.43,4.61
25,She Dreamed Him,246,1270,12,54,29,4.03,2.16,527.14,8.79
26,Skin to the Particle Physicist,63,322,9,34,11,1.53,1.36,135,2.25
27,Somonka in G,53,270,6,34,11,1.53,1.36,113.57,1.89
28,Spring Melt,79,429,9,44,15,2.08,1.76,169.29,2.82
29,Surprise,100,501,7,41,18,2.5,1.64,214.29,3.57
30,The Fisherman's Wife,300,1629,15,71,25,3.47,2.84,642.86,10.71
31,The Garden,167,857,13,63,16,2.22,2.52,357.86,5.96
32,The Golden Mean,60,320,10,49,8,1.11,1.96,128.57,2.14
33,The Good Wife,231,1159,13,69,18,2.5,2.76,495,8.25
34,The Last Day,57,317,11,56,6,0.83,2.24,122.14,2.04
35,The Mountain of Light,126,658,13,70,11,1.53,2.8,270,4.5
36,The Next Title,138,701,11,57,15,2.08,2.28,295.71,4.93
37,The Onset of Change,254,1380,12,62,28,3.89,2.48,544.29,9.07
38,The Shell Cracks,87,470,10,53,10,1.39,2.12,186.43,3.11
39,The Taste of Bitter,184,901,8,48,23,3.19,1.92,394.29,6.57
40,The Rite of Spring,99,503,8,36,17,2.36,1.44,212.14,3.54
41,Breaking the Drought,91,453,13,50,35,4.86,2,195,3.25
42,Origins,79,393,87,42,11,1.53,1.68,169.29,2.82
43,Tops and Bottoms,86,441,10,52,9,1.25,2.08,184.29,3.07
44,Upon Watching a Young Man Stretch,57,367,8,66,12,1.67,2.64,122.14,2.04
45,Watching a Movie with Marie,217,1165,14,66,23,3.19,2.64,465,7.75
46,What Alice Forgot,156,820,10,55,19,2.64,2.2,334.29,5.57
47,The Secret,118,604,9,51,15,2.08,2.04,252.86,4.21
48,Once,109,577,8,45,19,2.64,1.8,233.57,3.89
49,Would You? Could You?,120,664,14,76,9,1.25,3.04,257.14,4.29
50,robert and Robert,70,336,6,41,10,1.39,1.64,150,2.5
51,Root Word: Gamy,39,238,9,49,5,0.69,1.96,83.57,1.39
